GRD_ID,CLASS,POP,POP_DENS,LOG_POP_DENS,DEM_MEAN,DEM_MAX,LCZ_CL,LU_1_A,LU_2_A,LU_3_A,LU_4_A,VIIRS_MEAN,VIIRS_MAX,SEN2_AUT_MEAN_R,SEN2_AUT_MEAN_G,SEN2_AUT_MEAN_B,SEN2_AUT_MED_R,SEN2_AUT_MED_G,SEN2_AUT_MED_B,SEN2_AUT_STD_R,SEN2_AUT_STD_G,SEN2_AUT_STD_B,SEN2_AUT_MAX_R,SEN2_AUT_MAX_G,SEN2_AUT_MAX_B,SEN2_AUT_MIN_R,SEN2_AUT_MIN_G,SEN2_AUT_MIN_B,SEN2_SPR_MEAN_R,SEN2_SPR_MEAN_G,SEN2_SPR_MEAN_B,SEN2_SPR_MED_R,SEN2_SPR_MED_G,SEN2_SPR_MED_B,SEN2_SPR_STD_R,SEN2_SPR_STD_G,SEN2_SPR_STD_B,SEN2_SPR_MAX_R,SEN2_SPR_MAX_G,SEN2_SPR_MAX_B,SEN2_SPR_MIN_R,SEN2_SPR_MIN_G,SEN2_SPR_MIN_B,SEN2_SUM_MEAN_R,SEN2_SUM_MEAN_G,SEN2_SUM_MEAN_B,SEN2_SUM_MED_R,SEN2_SUM_MED_G,SEN2_SUM_MED_B,SEN2_SUM_STD_R,SEN2_SUM_STD_G,SEN2_SUM_STD_B,SEN2_SUM_MAX_R,SEN2_SUM_MAX_G,SEN2_SUM_MAX_B,SEN2_SUM_MIN_R,SEN2_SUM_MIN_G,SEN2_SUM_MIN_B,SEN2_WIN_MEAN_R,SEN2_WIN_MEAN_G,SEN2_WIN_MEAN_B,SEN2_WIN_MED_R,SEN2_WIN_MED_G,SEN2_WIN_MED_B,SEN2_WIN_STD_R,SEN2_WIN_STD_G,SEN2_WIN_STD_B,SEN2_WIN_MAX_R,SEN2_WIN_MAX_G,SEN2_WIN_MAX_B,SEN2_WIN_MIN_R,SEN2_WIN_MIN_G,SEN2_WIN_MIN_B,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public Transport,railway,route,shop,sport,telecom,tourism,water,waterway,addr:housenumber,restrictions,other,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts_argmin,streets_per_node_counts_min,streets_per_node_counts_argmax,streets_per_node_counts_max,streets_per_node_proportion_argmin,streets_per_node_proportion_min,streets_per_node_proportion_argmax,streets_per_node_proportion_max,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion
106,0,0,0.0,0.0,6.0132527351379395,22.393571853637695,17,0.0,0.0,0.0,0.0,0.8545616269111633,4.672587871551514,3.103865859338612,1.8398540599285824,0.9659214407700668,4.0,2.0,1.0,1.6677770128487284,1.076293895178871,0.6425162744254598,4,3,2,0,0,0,3.1044092532215495,2.3339543549138333,1.5520105573668685,4.0,3.0,2.0,1.6682317497318249,1.2566027559853588,0.8341628968243893,5,4,3,0,0,0,3.103865859338612,2.327899394503959,1.551932929669306,4.0,3.0,2.0,1.6677770128487284,1.2508327596365463,0.8338885064243642,4,3,2,0,0,0,3.879832324173265,2.3290638099673964,1.551932929669306,5.0,3.0,2.0,2.0847212660609107,1.251922865377933,0.8338885064243642,5,4,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,10.666666666666666,3.0,5.333333333333333,0.0,0.0,4.0,2.0,0.0,0.0,4.0,0.6666666666666666,2266.552000000001,141.65950000000004,1133.276,141.6595,8.0,3.0,3.0,2266.552000000001,1133.276,1.0000012102265718,0.0
122,0,0,0.0,0.0,81.33769989013672,117.25115203857422,14,0.0,0.0,21.410446166992188,0.0,2.4870007038116455,8.65772819519043,3.6109299798167984,3.252988666356156,3.098276665114113,4.0,4.0,3.0,2.0025209437917555,1.8684518725310273,1.9970398397534033,7,7,7,0,0,0,4.1963980748331,3.9790405216581277,4.123738549914609,5.0,5.0,5.0,2.3284673162291583,2.3315528883898566,2.545209307104667,7,7,9,0,0,0,3.456916627852818,3.1137245769290485,3.0582984008694303,4.0,4.0,4.0,1.9132033078325081,1.7228023492842988,1.8712481046349965,7,7,8,0,0,0,4.411504424778761,3.3691197019096415,3.3203695078403976,6.0,4.0,4.0,2.4066424510724103,1.882469561138238,1.9645364426088012,7,6,7,0,0,0,0.0,0.0,0.0,2.0,1.0,48.0,0.0,0.0,0.0,0.0,50.0,0.0,12.0,0.0,1.0,0.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,118.0,369.0,6.2542372881355925,103.0,3.3389830508474576,5.0,1.0,4.0,78.0,5.0,0.00847457627118644,4.0,0.6610169491525424,86866.71699999992,235.41115718157158,52042.85399999996,264.1769238578678,197.0,118.0,103.0,86866.71699999992,52042.85399999996,1.769432108431859,0.0054200542005420045
125,0,0,0.0,0.0,75.52880859375,121.82537078857422,14,0.0,0.0,0.0,0.0,0.6471531391143799,2.185595750808716,4.421411230323439,4.363928263763803,4.6137520557600435,5.0,5.0,5.0,2.4900677659497172,2.5831587879978386,3.0106582947011926,7,8,10,0,0,0,3.8295089670295246,3.521184117785261,3.273083248492443,5.0,4.0,4.0,2.0430759584538603,1.9396590851895816,1.8744515727557582,6,6,7,0,0,0,3.6962957161876417,3.0987547967734357,3.3275902576552587,5.0,4.0,4.0,1.988577192447681,1.6767160724558174,1.9714599650075024,6,5,6,0,0,0,4.443730910799593,3.297282481008693,3.026861931239721,6.0,4.0,4.0,2.37880025020741,1.8113623097085616,1.6829938184947246,6,5,5,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,64.0,5.333333333333333,15.0,2.6666666666666665,0.0,0.0,4.0,12.0,0.0,0.0,4.0,0.5,34806.66,543.8540625,17403.329999999998,543.8540624999998,32.0,24.0,15.0,34806.66,17403.329999999998,1.8659438066031369,0.03125
134,0,0,0.0,0.0,9.635210990905762,50.11638259887695,17,0.0,0.0,0.0,0.009840765967965126,1.6266311407089233,6.415160655975342,3.2059675777273084,2.0541937504894667,1.2275041115200878,4.0,2.0,1.0,1.742628327158214,1.3897045427012487,1.3582874628385744,8,9,11,0,0,0,3.2301668102435586,2.536847051452737,1.781737019343723,4.0,3.0,2.0,1.7632294160386524,1.5085553254832824,1.4034488993111216,8,9,11,0,0,0,3.1856057639595896,2.448351476231498,1.7267601221708826,4.0,3.0,2.0,1.7183214426030158,1.423436618402019,1.3213330632368938,9,9,11,0,0,0,3.962252329861383,2.4612733965071656,1.6865063826454696,5.0,3.0,2.0,2.105149692849612,1.3809591942671349,1.1210012617222942,8,7,9,0,0,0,0.0,0.0,10.0,9.0,0.0,2.0,0.0,3.0,0.0,0.0,67.0,0.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,159.0,554.0,6.968553459119498,129.0,3.4842767295597485,7.0,0.0,4.0,54.0,7.0,0.0,4.0,0.33962264150943394,40402.85000000001,72.92933212996392,20201.425000000007,72.92933212996391,277.0,159.0,129.0,40402.85000000001,20201.425000000007,1.0581540475840152,0.0
176,0,0,0.0,0.0,56.858482360839844,94.49431610107422,14,0.0,0.0,0.0,0.0,0.6983224153518677,2.487359046936035,3.414049651499726,3.1256950426814942,2.7005247082778605,4.0,4.0,3.0,1.898677041518577,1.8543837497334388,1.9674858541149858,8,9,10,0,0,0,3.858720338319367,3.383663560184823,3.4732555407627848,5.0,4.0,4.0,2.0615315676181183,1.8671398742726892,1.9961415668533549,6,7,8,0,0,0,3.3182708121231106,3.1654005795285456,2.604745868901245,4.0,4.0,3.0,1.7940510333623987,1.773860064004188,1.7557877262400061,7,7,8,0,0,0,4.132743362831858,3.1032187328686662,2.923643198371055,5.0,4.0,4.0,2.2147244314602115,1.6800636786427785,1.6560393397527309,6,5,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,13.0,0.0,0.0,0.0,21.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,235.0,902.0,7.676595744680852,215.0,3.8382978723404255,0.0,0.0,4.0,150.0,0.0,0.0,4.0,0.6382978723404256,108143.03400000012,119.89249889135269,54071.516999999876,119.89249889135228,451.0,235.0,215.0,108143.03400000012,54071.516999999876,1.3865653268860716,0.0022172949002217295
188,0,0,0.0,0.0,11.945941925048828,40.5988883972168,17,0.0,0.0,0.0,0.0,1.5985891819000244,6.7965312004089355,3.2103350189633377,1.9336283185840708,1.149099241466498,4.0,2.0,1.0,1.6906844906884104,1.214907136824471,1.0321801385632408,9,10,11,0,0,0,3.220211757269279,2.4604930467762327,1.6928729456384324,4.0,3.0,2.0,1.7022162858628482,1.3562681227819722,1.103995056026415,8,9,11,0,0,0,3.2010113780025287,2.439554361567636,1.6855246523388117,4.0,3.0,2.0,1.6802899902094206,1.3366538134770525,1.0897750595843785,8,9,11,0,0,0,3.984039190897598,2.4496681415929205,1.6676675094816689,5.0,3.0,2.0,2.072195222507623,1.323590375754656,1.0036363068127367,9,8,10,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,160.0,12.8,23.0,6.4,5.0,0.0,8.0,12.0,5.0,0.0,8.0,0.48,14314.286000000006,89.46428750000004,7157.143,89.4642875,80.0,25.0,23.0,14314.286000000006,7157.143,1.0021658227122,0.0
193,0,0,0.0,0.0,25.337568283081055,44.26091003417969,10,0.0,29.350387573242188,0.0,1172.1031494140625,9.079269409179688,17.211502075195312,3.513817730166123,2.8748641515292657,2.5819748486259897,4.0,3.0,3.0,1.9825359322244251,1.709274068075982,1.8015573693667433,12,12,14,0,0,0,3.8552243440459555,3.1938363608135383,3.112094395280236,5.0,4.0,4.0,2.19059600748413,1.9053644802902654,2.0872918893985783,12,13,15,0,0,0,3.617450706412048,3.11783884489986,2.90180096258345,4.0,4.0,3.0,2.0555247988067276,1.8616802028191781,2.018059632609785,12,12,14,0,0,0,4.198804533457538,2.928737773637634,2.5973451327433628,5.0,4.0,3.0,2.318590642423456,1.687754679297623,1.6670647530374263,12,11,13,0,0,0,0.0,0.0,10.0,18.0,0.0,203.0,0.0,0.0,0.0,0.0,96.0,0.0,11.0,7.0,41.0,2.0,6.0,2.0,3.0,33.0,0.0,111.0,0.0,2.0,1.0,0.0,0.0,1.0,8.0,12.0,0.0,0.0,438.0,1311.0,5.986301369863014,327.0,2.9908675799086764,7.0,0.0,4.0,159.0,7.0,0.0,4.0,0.363013698630137,162636.1479999994,124.05503279938931,81375.06999999996,123.85855403348549,657.0,438.0,327.0,162636.1479999994,81375.06999999996,1.216914031495452,0.006102212051868803
19,0,0,0.0,0.0,121.33917999267578,173.2540740966797,11,0.0,0.0,0.0,0.0,1.6565322875976562,3.0006561279296875,3.1877309047169002,2.4321677120027494,1.6197267806512587,4.0,3.0,2.0,1.490203654297695,1.1313054019217819,0.7621575686115782,4,4,3,0,0,0,3.310765529684681,2.4949737949995705,2.273906693014864,4.0,3.0,3.0,1.51087819050127,1.1437400257110724,1.1288188218336328,5,4,4,0,0,0,2.729444110318756,2.4753844832030243,1.6489389122776872,3.0,3.0,2.0,1.3131879302021765,1.1337520596059267,0.7592579161091321,4,4,4,0,0,0,4.135234985823525,2.5232408282498495,1.9182060314460005,5.0,3.0,2.0,1.8878501043121474,1.1679727905876447,0.974903404263568,5,4,4,0,0,0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,3.0,4.0,1.0,1.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,136.0,328.0,4.823529411764706,99.0,2.411764705882353,2.0,6.0,3.0,83.0,2.0,0.04411764705882353,3.0,0.6102941176470589,82605.03000000007,251.84460365853678,41302.515,251.84460365853656,164.0,136.0,99.0,82605.03000000007,41302.515,1.1090592634053251,0.006097560975609756
215,0,0,0.0,0.0,7.9132914543151855,40.5988883972168,17,0.0,0.0,0.0,0.0,2.193629741668701,6.601384162902832,3.1747399472131654,1.8768048439683278,1.035631113181183,4.0,2.0,1.0,1.7638414041232517,1.3184669179654926,1.221115436562959,9,10,12,0,0,0,3.1857630802670394,2.4587796925943177,1.7085079956528488,4.0,3.0,2.0,1.7677717602961698,1.4602483028920186,1.2780146700830173,8,9,11,0,0,0,3.1623195156031674,2.420664493091135,1.693292966930601,4.0,3.0,2.0,1.7513405580917591,1.4500806800209536,1.3181639958111149,8,9,11,0,0,0,3.9285048905449464,2.425710293432697,1.6649588573202918,5.0,3.0,2.0,2.133001079184708,1.389611599239445,1.1289325143551328,9,8,10,0,0,0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,56.0,8.0,10.0,4.0,2.0,0.0,4.0,4.0,2.0,0.0,4.0,0.2857142857142857,7264.111999999999,129.7162857142857,3632.0559999999987,129.71628571428568,28.0,14.0,10.0,7264.111999999999,3632.0559999999987,1.0420305869402748,0.0
226,0,0,0.0,0.0,22.107486724853516,30.362701416015625,14,0.0,0.0,0.0,4.6176910400390625,1.3183519840240479,3.4735374450683594,3.243828598043782,2.842803912435957,2.0770066759819903,4.0,3.0,2.0,1.774885919120519,1.59788222294614,1.3622545337776808,6,6,7,0,0,0,3.7107591988821613,3.1237385499146098,3.105884179475237,5.0,4.0,4.0,2.0266484389189054,1.7333670880229113,1.7935170644798246,6,6,7,0,0,0,3.1703927961496663,2.9261760596180717,2.0267039279614965,4.0,4.0,2.0,1.7199295697564154,1.6226638093819583,1.2620730073154358,5,6,5,0,0,0,3.966387206955442,2.962971588262692,2.6339854059928585,5.0,4.0,3.0,2.147604856249161,1.63164582038687,1.4937961338149288,7,5,5,0,0,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,12.0,0.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,6.0,0.0,0.0,174.0,306.0,3.5172413793103448,63.0,1.7586206896551724,0.0,1.0,1.0,110.0,0.0,0.005747126436781609,1.0,0.632183908045977,81683.14200000005,266.9383725490198,40841.57099999998,266.93837254901956,153.0,174.0,63.0,81683.14200000005,40841.57099999998,1.1981262932380048,0.006535947712418301
