aerialway,0
aeroway,0
amenity,13
barrier,75
boundary,1
building,161
craft,0
emergency,0
geological,0
healthcare,0
highway,125
historic,1
landuse,10
leisure,6
man_made,5
military,0
natural,20
office,3
place,0
power,6
public Transport,0
railway,36
route,0
shop,3
sport,3
telecom,0
tourism,0
water,16
waterway,9
addr:housenumber,55
restrictions,0
other,0
n,312
m,715
k_avg,4.583333333333333
intersection_count,180
streets_per_node_avg,2.2948717948717947
streets_per_node_counts_argmin,5
streets_per_node_counts_min,0.0
streets_per_node_counts_argmax,3
streets_per_node_counts_max,110.0
streets_per_node_proportion_argmin,5
streets_per_node_proportion_min,0.0
streets_per_node_proportion_argmax,3
streets_per_node_proportion_max,0.3525641025641026
edge_length_total,125991.461
edge_length_avg,176.21183356643357
street_length_total,63049.77499999999
street_length_avg,176.11668994413404
street_segments_count,358
node_density_km,312.0
intersection_density_km,180.0
edge_density_km,125991.461
street_density_km,63049.77499999999
circuity_avg,1.4171113242839408
self_loop_proportion,0.011188811188811189
clean_intersection_count,
clean_intersection_density_km,
